"No.","Time","Source","Destination","Protocol","Length","Info"
"27867","125.565314","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27869","125.565314","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27870","125.565314","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27871","125.565348","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27875","125.581242","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27876","125.581243","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27877","125.581243","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27884","125.581414","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27885","125.581415","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27886","125.581415","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27887","125.581415","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27889","125.581457","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27890","125.581457","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"27897","125.598978","2a00:1450:400e:803::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU][TLS segment of a reassembled PDU]"
"35188","144.119680","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","TLSv1.3","701","Client Hello (SNI=espresso-pa.clients6.google.com)"
"35207","144.129758","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Server Hello, Change Cipher Spec"
"35209","144.129758","2a00:1450:400e:80f::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2838","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"35222","144.135781","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80f::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"35335","151.574979","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"35339","151.575227","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"35340","151.575228","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"35343","151.575758","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","[TLS segment of a reassembled PDU]"
"35348","151.577581","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","4918","[TLS segment of a reassembled PDU]"
"35353","151.579888","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"35354","151.579888","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"35355","151.579889","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"36812","175.595675","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"37735","176.245947","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200a","TLSv1.3","630","Client Hello (SNI=translate.googleapis.com)"
"37799","176.281824","2a00:1450:4002:414::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"37801","176.281824","2a00:1450:4002:414::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","109","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"37808","176.285298","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:4002:414::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"37836","176.334244","2a00:1450:4002:414::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
